mail_id,gonderen_ad,konu,govde,kategori,aciliyet,tarih
1,Zeynep Şahin,ÇİFT ÇEKİM YAPILDI,Hesabımdan AYNI siparişin tutarı İKİ KEZ çekildi! 299 TL fazladan paramı alın geri verin. Bankayı arıyorum şu an. Sipariş: SP971002,fatura,4,2026-04-02 10:35
2,Mustafa Öztürk,Sipariş gelmedi,"Merhaba, 26.02.2026 tarihinde sipariş ettiğim kazak hala elime ulaşmadı. Kargo takip sisteminde 5 gündür hareket yok. Lütfen acil bilgi verin. Sipariş no: SP916449

İyi günler dilerim,
Mustafa Öztürk",kargo,3,2026-04-24 10:35
3,Anonim,Beden sorunu: urun aynı beden gelmedi,urun aynı beden gelmedi,iade,1,2026-03-29 19:57
4,Anonim,Kalite şikayeti: ürünün ön kısmında defosu vardi lakin uğraşmak ist...,ürünün ön kısmında defosu vardi lakin uğraşmak istemiyorum iadeyle terizyle defolu yeri halledicem.,teknik,1,2026-04-02 19:57
5,Anonim,Kalite şikayeti: Kalıbı güzel ama polyester ürün,Kalıbı güzel ama polyester ürün,teknik,1,2026-04-11 19:57
6,Anonim,Yanlış ürün: Hiç hoş deil 2xl söyledim ve gelen beden xs 4 ürün...,Hiç hoş deil 2xl söyledim ve gelen beden xs 4 ürün den bir tanesi yanlış beden geldi,iade,2,2026-04-09 19:57
7,Anonim,Yanlış ürün: xl aldım eşim için xxl gibi kalıbı ve çok kötü dur...,xl aldım eşim için xxl gibi kalıbı ve çok kötü duruyor kesinlikle almayın bu fiyata bu gömlek rezillik,iade,1,2026-04-25 19:57
8,Fatma Kaya,Fatura tutarı yanlış,"Sipariş tutarım 1899 TL idi ama faturada farklı bir tutar görünüyor. Kontrol eder misiniz? SP806423

İyi günler dilerim,
Fatma Kaya",fatura,3,2026-04-16 10:35
9,Anonim,Ürün sorunu: Bana gelen pijama sanki dikis okulunun bir öğrenci...,Bana gelen pijama sanki dikis okulunun bir öğrenci dikmiş. o kadar eğri dikisler ki o kadar yamuk o kadar kalitesiz... kumas içinde pamuk üzde sifir- tamamen poliester,teknik,1,2026-04-27 19:57
10,Zeynep Şahin,Hatalı ücretlendirme,"İptal ettiğim siparişin tutarı hala kartımdan tahsil edilmiş görünüyor. 149 TL nerede? 5 gündür arıyorum kimse cevap vermiyor.

Teşekkürler,
Zeynep Şahin
Tel: 05432694160",fatura,4,2026-04-08 10:35
11,Elif Arslan,Fatura talebi,"Merhaba, SP609462 numaralı siparişim için e-fatura tarafıma ulaşmadı. Tekrar gönderebilir misiniz?",fatura,1,2026-04-09 10:35
12,Ayşe Yılmaz,Fatura tutarı yanlış,"Sipariş tutarım 4750 TL idi ama faturada farklı bir tutar görünüyor. Kontrol eder misiniz? SP893612

Saygılarımla,
Ayşe Yılmaz

> Ayşe Yılmaz şunu yazdı:
> Siparişim hala elime ulaşmadı, lütfen yardımcı olun.",fatura,2,2026-04-05 10:35
13,Anonim,Ürün sorunu: Etek boyu eşit değil,Etek boyu eşit değil,teknik,1,2026-04-22 19:57
