mail_id,gonderen_ad,konu,govde,kategori,aciliyet,tarih
1,Elif Arslan,Kargo şirketi rezalet,"valiz siparişim için kargo görevlisi geldi, ben evdeyken zile bile basmadan 'adres bulunamadı' yazıp gitmiş. Bu üçüncü sefer oluyor. Kargo şirketinizi değiştirin artık!

İyi günler dilerim,
Elif Arslan",kargo,4,2026-04-26 10:35
2,Zeynep Şahin,ÇİFT ÇEKİM YAPILDI,Hesabımdan AYNI siparişin tutarı İKİ KEZ çekildi! 299 TL fazladan paramı alın geri verin. Bankayı arıyorum şu an. Sipariş: SP971002,fatura,4,2026-04-02 10:35
3,Hatice Özdemir,Fatura tutarı yanlış,"Sipariş tutarım 4750 TL idi ama faturada farklı bir tutar görünüyor. Kontrol eder misiniz? SP589887

Teşekkürler,
Hatice Özdemir
Tel: 05478463259

> Hatice Özdemir şunu yazdı:
> Siparişim hala elime ulaşmadı, lütfen yardımcı olun.",fatura,2,2026-04-09 10:35
4,Kerem Tekin,Fatura tutarı yanlış,"Sipariş tutarım 7999 TL idi ama faturada farklı bir tutar görünüyor. Kontrol eder misiniz? SP911242

Teşekkürler,
Kerem Tekin
Tel: 05457007679

----- Önceki Mesaj -----
Merhaba Kerem Tekin,
Müşteri hizmetlerimize ulaştığınız için teşekkür ederiz. Talebinizi inceleyip size dönüş yapacağız.
İyi günler.",fatura,3,2026-04-11 10:35
5,Ayşe Yılmaz,ÇİFT ÇEKİM YAPILDI,"Hesabımdan AYNI siparişin tutarı İKİ KEZ çekildi! 7999 TL fazladan paramı alın geri verin. Bankayı arıyorum şu an. Sipariş: SP930244

Teşekkürler,
Ayşe Yılmaz
Tel: 05589528492",fatura,4,2026-04-07 10:35
6,Hasan Koç,Sipariş gelmedi,"Merhaba, 15.03.2026 tarihinde sipariş ettiğim blender hala elime ulaşmadı. Kargo takip sisteminde 5 gündür hareket yok. Lütfen acil bilgi verin. Sipariş no: SP436653

Saygılarımla,
Hasan Koç",kargo,3,2026-04-06 10:35
7,Hüseyin Doğan,YASAL İŞLEM BAŞLATACAĞIM,"15 gündür siparişim gelmedi, paramı da iade etmiyorsunuz. Tüketici hakem heyetine başvuruyorum. Avukatımla görüştüm, bu konuyu yargıya taşıyacağız. Sipariş no: SP526156 Tutar: 3299 TL

Saygılarımla,
Hüseyin Doğan

----- Önceki Mesaj -----
Merhaba Hüseyin Doğan,
Müşteri hizmetlerimize ulaştığınız için teşekkür ederiz. Talebinizi inceleyip size dönüş yapacağız.
İyi günler.",kargo,5,2026-04-15 10:35
8,Elif Arslan,Eksik parça,"kulaklık kutusundan eksik parça çıktı. Şarj kablosu yok. Hemen gönderilmesini rica ediyorum.

Teşekkürler,
Elif Arslan
Tel: 05327047102",teknik,2,2026-04-16 10:35
9,Onur Yıldırım,DOLANDIRICILIK,"Hiç sipariş vermediğim halde kartımdan 1250 TL çekilmiş! Kart bilgilerim sizden mi sızdı? BDDK'ya ve savcılığa şikayette bulunuyorum. Acil müdahale!

Saygılarımla,
Onur Yıldırım",fatura,5,2026-04-09 10:35
10,Onur Yıldırım,Ürün tarif edildiği gibi değil,"Ürün açıklamasında 'su geçirmez' yazıyordu, oysa elime aldığım modelde böyle bir özellik yok. Yanıltıcı bilgi vermişsiniz. Sipariş: SP792687

Saygılarımla,
Onur Yıldırım",teknik,4,2026-04-23 10:35
